ShopID,ShopNo,ShopName,ShopCity,ShopAddress,ShopRating
SH00001,1,Einti,Krosno Odrzańskie,9397 Del Sol Junction,4.22
SH00002,2,Myworks,Llauta,6 Dennis Parkway,4.82
SH00003,3,Eimbee,Itigi,52 Artisan Way,4.72
SH00004,4,Browsecat,Tsibulev,8 Cherokee Place,3.32
SH00005,5,Gabtune,Farroupilha,74146 Kennedy Lane,3.12
SH00006,6,Browsecat,Amaigbo,44919 Norway Maple Parkway,4.02
SH00007,7,Quimm,Fukushima-shi,4025 Rowland Point,4.02
SH00008,8,Zoonder,Rodhítsa,23 Randy Crossing,3.52
SH00009,9,Youfeed,Kovdor,9 Waubesa Park,4.62
SH00010,10,Mynte,Candelaria,0219 Schlimgen Drive,4.82
SH00011,11,Skipstorm,Kalangsari,129 Pleasure Circle,3.22
SH00012,12,Mydeo,Viseu,119 Ohio Trail,4.32
SH00013,13,Dynabox,Xiahan,6015 Portage Plaza,3.72
SH00014,14,Livepath,Shuangqiaoping,928 Redwing Parkway,4.62
SH00015,15,Blogpad,Lāchi,1 Carberry Crossing,3.12
SH00016,16,Trudeo,Mýto,784 Maryland Pass,4.72
SH00017,17,Mynte,Krajan,3216 West Crossing,3.52
SH00018,18,Meevee,Nîmes,75 Russell Trail,3.02
SH00019,19,Meetz,Springbok,28 Macpherson Trail,4.72
SH00020,20,Dabshots,Kuanda,61542 Corben Drive,3.92
SH00021,21,Dynava,Bluri,380 Pine View Hill,4.02
SH00022,22,Twinte,Mayisad,420 Luster Point,3.02
SH00023,23,Dynava,Terangun,5 Northwestern Court,3.72
SH00024,24,Tambee,Naro-Fominsk,95 Banding Parkway,3.12
SH00025,25,Skyble,Bourges,3363 Farwell Court,3.72
SH00026,26,Quaxo,Shiye,4706 Warbler Circle,3.92
SH00027,27,Lajo,Borås,682 Merry Way,4.52
SH00028,28,Edgeclub,Har Nur,7255 Mendota Alley,3.22
SH00029,29,Skynoodle,Xigaoshan,671 Carey Place,4.22
SH00030,30,Oyoba,Jabłoń,83 Mcguire Street,3.22
SH00031,31,Realbridge,Angoulême,4 Elka Way,4.82
SH00032,32,Trudoo,Tasikona,85 Dovetail Junction,3.32
SH00033,33,Livefish,Maguyam,732 Cambridge Park,3.62
SH00034,34,Shufflebeat,Sanjō,28 Warner Place,3.22
SH00035,35,Yakitri,Oslo,25385 Fremont Hill,3.32
SH00036,36,Flipstorm,Fukuoka-shi,6954 Ramsey Plaza,4.82
SH00037,37,Dablist,Santa María del Real,9 Atwood Plaza,3.42
SH00038,38,Flashspan,Thomazeau,45385 Delladonna Street,4.22
SH00039,39,Roombo,Tangjin,2 Sheridan Street,3.72
SH00040,40,Kwinu,Bayan Hure,4 Londonderry Crossing,4.62
SH00041,41,Dynazzy,Saint Petersburg,5830 Jana Road,3.42
SH00042,42,Realbuzz,Linggamanik,1 Pawling Park,4.12
SH00043,43,Skibox,Gaojiazhuang,7352 Lighthouse Bay Circle,3.72
SH00044,44,Babblestorm,Baoshan,18964 Fuller Avenue,3.72
SH00045,45,Pixope,Serdobsk,0691 Pankratz Plaza,4.42
SH00046,46,Eire,Neuquén,4 Menomonie Parkway,4.52
SH00047,47,Aivee,Vaiamonte,92 Homewood Point,4.42
SH00048,48,Kwinu,Al Manşūrah,24725 Porter Point,3.82
SH00049,49,Skynoodle,Whistler,746 Dapin Road,3.02
SH00050,50,Quimm,Júlio de Castilhos,7 2nd Center,4.42
SH00051,51,Oyondu,Baoxia,98 Lotheville Park,4.42
SH00052,52,Skaboo,Luhe,07638 Blackbird Street,4.62
SH00053,53,Mita,Tanlad,2 Oakridge Parkway,4.42
SH00054,54,Rhynoodle,Chãos,8 Eliot Hill,4.32
SH00055,55,Edgeblab,Abonnema,311 Daystar Street,3.72
SH00056,56,Cogidoo,Kungur,636 Mitchell Trail,4.22
SH00057,57,Innojam,Nuoxizhi,454 Stone Corner Court,4.32
SH00058,58,Meevee,Laoshawan,8 Clyde Gallagher Point,3.82
SH00059,59,Zoozzy,Enrile,648 Darwin Way,4.92
SH00060,60,Twitternation,Motygino,48 Dunning Terrace,3.02
SH00061,61,Tazz,Lautoka,975 Darwin Lane,4.12
SH00062,62,Reallinks,Bayt Sīrā,38 Meadow Valley Pass,3.32
SH00063,63,Chatterbridge,Zheleznodorozhnyy,709 Lillian Pass,3.62
SH00064,64,Browseblab,Aix-en-Provence,0387 Oxford Terrace,3.92
SH00065,65,Trunyx,Roma,7717 Sachs Court,3.82
SH00066,66,Einti,Darunban,26 Green Center,3.22
SH00067,67,Oyope,Kuźnia Raciborska,5 Sunbrook Pass,4.82
SH00068,68,Dazzlesphere,Xiaocun,0358 Duke Drive,4.92
SH00069,69,Agivu,Kedrovoye,4844 North Center,4.92
SH00070,70,Avavee,Valdemarsvik,86 Westridge Terrace,3.32
SH00071,71,Voomm,Hongtu,9 Brown Plaza,4.32
SH00072,72,Feedfish,San Antonio,85662 Bonner Parkway,3.62
SH00073,73,Fanoodle,Guyam Malaki,6 Debs Lane,4.62
SH00074,74,Gevee,Santarém,2 Oak Avenue,3.52
SH00075,75,Bluejam,Zahlé,897 Canary Terrace,4.62
SH00076,76,Twitterbridge,Taifu,09476 Warbler Park,3.52
SH00077,77,Wordify,Damanhūr,279 Maywood Lane,3.22
SH00078,78,Kazio,Xiaoguan,3 Lakewood Way,3.62
SH00079,79,Flipstorm,Bairro dos Marinheiros,43 Mariners Cove Lane,4.42
SH00080,80,Abata,Sanjiao,00 Thompson Street,4.22
SH00081,81,Fanoodle,Wilczyce,7099 Village Parkway,4.72
SH00082,82,Zooveo,Changfeng,9070 Blackbird Road,3.92
SH00083,83,Avamba,Kajaani,2 Talisman Hill,4.82
SH00084,84,Wikizz,Xinquansi,3417 Hagan Trail,4.02
SH00085,85,Rhyloo,Hengli,91 Duke Parkway,3.32
SH00086,86,Centizu,Suure-Jaani,8471 Larry Lane,3.62
SH00087,87,Twinder,Numazu,28371 Kennedy Circle,4.42
SH00088,88,Skinder,Taiyuan,489 Bunker Hill Alley,3.92
SH00089,89,Wordtune,Tete,79707 Eggendart Street,4.82
SH00090,90,Tagopia,Carlos Tejedor,24 Huxley Plaza,4.62
SH00091,91,Kazu,Lagawe,28 Dorton Way,4.52
SH00092,92,Muxo,Sośnie,17770 Garrison Street,4.32
SH00093,93,Miboo,Qobustan,5145 Manley Point,3.12
SH00094,94,Babbleblab,Comillas Norte,67 Bonner Junction,3.52
SH00095,95,Jabbertype,Renshan,175 Mcguire Street,3.62
SH00096,96,Realpoint,Domalanoan,5 Raven Hill,3.12
SH00097,97,Eidel,Ciomas,0902 Harper Circle,4.52
SH00098,98,Realbuzz,Örnsköldsvik,14 Hanson Parkway,3.32
SH00099,99,Flipstorm,Palmasola,9879 1st Street,4.82
SH00100,100,Rhynyx,Mirebalais,0352 Maryland Road,3.92
SH00101,101,Kwilith,Kanlagay,52 Schiller Terrace,4.22
SH00102,102,Chatterpoint,Yanas,0311 Helena Hill,4.72
SH00103,103,Meeveo,Gálvez,738 Cordelia Street,4.22
SH00104,104,Innotype,Huazhou,9182 Jackson Pass,4.62
SH00105,105,Trunyx,Cagayan,201 Canary Circle,3.22
SH00106,106,Layo,Moscow,868 Dawn Drive,4.72
SH00107,107,Skaboo,Khust,51 Shelley Avenue,3.12
SH00108,108,Thoughtblab,Monte Patria,2118 Helena Lane,3.62
SH00109,109,Snaptags,Al Misrākh,225 Merrick Park,3.42
SH00110,110,Livetube,Ostrów Lubelski,8392 Stuart Crossing,3.22
SH00111,111,Fiveclub,Bobadela,52 Buhler Circle,3.72
SH00112,112,Gabspot,Klobuky,74 Graedel Plaza,3.52
SH00113,113,Chatterpoint,Erling,27 Corben Center,4.32
SH00114,114,Thoughtblab,Odivelas,45 Sycamore Park,4.12
SH00115,115,Ntag,Vạn Giã,9 Anniversary Parkway,3.22
SH00116,116,Flashpoint,Chardonnière,952 Pearson Way,4.92
SH00117,117,Voonix,Pamedilan,1 Northfield Trail,3.02
SH00118,118,Buzzster,Armopa,51276 Oneill Park,3.82
SH00119,119,Voonte,Orlando,587 Dahle Point,3.92
SH00120,120,Topiczoom,Dayr Dibwān,9623 Artisan Way,3.12
SH00121,121,Vinder,Liuxiang,14 Hintze Lane,3.32
SH00122,122,Bubblemix,Dankama,5328 Ohio Court,4.72
SH00123,123,Reallinks,Rennes,63 Judy Hill,4.12
SH00124,124,Abatz,Yixingfu,624 Summit Road,3.02
SH00125,125,Fivechat,Severomorsk,3 Bay Center,3.32
SH00126,126,Zava,Caratinga,303 Bowman Plaza,3.82
SH00127,127,Chatterpoint,Novi Itebej,127 Coleman Terrace,4.92
SH00128,128,Shufflester,Bunut,8 Tony Park,4.02
SH00129,129,Kwimbee,Curahklapa,774 Havey Alley,4.42
SH00130,130,Jazzy,Tongjing,46 Canary Crossing,4.92
SH00131,131,Realpoint,Waepana,4298 Declaration Avenue,4.02
SH00132,132,Wordtune,Mikstat,74962 Sunbrook Street,3.22
SH00133,133,Livetube,Shanmu,31135 Monument Trail,4.22
SH00134,134,Tagpad,Yotsukaidō,0 Acker Center,4.72
SH00135,135,Jayo,Divjakë,88471 Westend Alley,4.22
SH00136,136,Zoozzy,Sidi Smaïl,968 Roxbury Court,4.12
SH00137,137,Twitterbeat,Nanshao,49190 Di Loreto Lane,3.32
SH00138,138,Flashdog,Rakhmanovo,671 Towne Crossing,4.72
SH00139,139,Quimba,Fangzheng,0483 Lukken Circle,4.52
SH00140,140,Wikizz,Jatisari,430 Novick Center,4.62
SH00141,141,Flashspan,Knoxville,0 Beilfuss Park,4.02
SH00142,142,Brightbean,Pepe,07965 Stuart Parkway,4.02
SH00143,143,Ozu,Huanghuai,77 Dottie Lane,4.82
SH00144,144,Quamba,Vahdat,25 Fair Oaks Street,3.42
SH00145,145,Realfire,Ashchysay,8 Ridgeview Junction,4.22
SH00146,146,Skajo,Shigu,045 Thompson Crossing,3.52
SH00147,147,Avamm,Ke’erlun,65221 Knutson Crossing,3.82
SH00148,148,Skilith,Songmuping,4 Park Meadow Avenue,3.12
SH00149,149,Yombu,Kirgili,076 Mesta Pass,3.22
SH00150,150,Kwilith,Fenhe,701 Green Street,4.52
SH00151,151,Skimia,Zhonglong,40 Norway Maple Center,3.42
SH00152,152,Zoomzone,Yanling,9 Anthes Parkway,4.82
SH00153,153,Kaymbo,Catabola,5683 Waubesa Way,3.62
SH00154,154,Bubbletube,Ignalina,16677 8th Hill,4.02
SH00155,155,Lajo,Fentange,50 Columbus Way,3.02
SH00156,156,Realbridge,København,92063 Del Mar Point,3.02
SH00157,157,Trupe,Haridimun,78088 Florence Junction,3.32
SH00158,158,Demivee,Xiaohekou,2496 Toban Drive,4.82
SH00159,159,Shuffletag,Muraloka,16298 Fisk Place,3.02
SH00160,160,Photolist,Laau,46 Troy Park,4.92
SH00161,161,Tekfly,Sępopol,81706 Shelley Point,3.52
SH00162,162,Twinte,Täby,3593 Nelson Trail,3.12
SH00163,163,Tanoodle,Uppsala,72 Butternut Hill,3.42
SH00164,164,Yodoo,Jianguang,552 Anniversary Pass,3.92
SH00165,165,Eamia,Sundumbili,02630 Tennessee Plaza,4.32
SH00166,166,Twitterbridge,Al Jaghbūb,754 Golf Course Place,3.62
SH00167,167,Jabbersphere,Verdizela,83 Rowland Drive,4.22
SH00168,168,Meemm,Burgos,618 Vermont Road,4.42
SH00169,169,Rhybox,Carson City,49353 Waubesa Plaza,4.12
SH00170,170,Jabberstorm,Rawa Satu,4 Surrey Avenue,4.22
SH00171,171,Ozu,Kasungu,5 Darwin Alley,3.82
SH00172,172,Tagpad,Nangkasari,0 Caliangt Hill,3.92
SH00173,173,Bluejam,Kopang Satu,36 Kensington Trail,3.02
SH00174,174,Ntag,Brikama,4 Gale Drive,4.32
SH00175,175,Dynava,Yuanguping,884 Center Circle,3.42
SH00176,176,Demizz,Horta,95813 Algoma Circle,4.02
SH00177,177,Zoomdog,Rudnogorsk,10 Duke Lane,4.12
SH00178,178,Lazzy,Menzel Jemil,962 Shelley Circle,3.52
SH00179,179,Flashset,Revda,965 Forster Pass,4.62
SH00180,180,Abata,Kuressaare,7830 Heffernan Terrace,4.92
SH00181,181,Yacero,Baltimore,98 Dexter Parkway,4.92
SH00182,182,Jaxbean,Samho-rodongjagu,3 Oak Valley Terrace,4.62
SH00183,183,Katz,Boñgalon,473 Anniversary Drive,4.32
SH00184,184,Buzzster,Janeng,049 Ludington Junction,3.82
SH00185,185,Layo,Kranjska Gora,66 Mesta Trail,4.02
SH00186,186,Flashspan,San Lorenzo,14 Veith Way,4.12
SH00187,187,Zoomzone,Qianhong,0 Basil Way,3.62
SH00188,188,Livefish,Cikalang,32431 Cody Pass,4.82
SH00189,189,Wordify,Postmasburg,18528 Clove Alley,4.72
SH00190,190,Dynabox,‘Aşīrah al Qiblīyah,22 Independence Park,4.52
SH00191,191,Skajo,Guará,59 Sullivan Avenue,3.22
SH00192,192,Dablist,Xinxing,682 Service Crossing,3.12
SH00193,193,Dynazzy,Diamantina,59 Holy Cross Terrace,3.32
SH00194,194,Gigaclub,Stará Paka,4 Pleasure Place,4.12
SH00195,195,Thoughtblab,Ilām,976 Melby Park,3.42
SH00196,196,Topiczoom,Gwoźnica Górna,32596 Fuller Road,3.92
SH00197,197,Realfire,Pulong Sampalok,02 Towne Pass,4.92
SH00198,198,Thoughtbridge,Paracuru,5 Calypso Park,3.02
SH00199,199,Jabbertype,Västerås,115 Killdeer Lane,3.22
SH00200,200,Zoozzy,Staryy Urukh,94 Vernon Plaza,4.02
SH00201,201,Devpulse,Zákupy,97732 Mayfield Circle,4.22
SH00202,202,Jabbersphere,Białaczów,871 Prairieview Avenue,4.02
SH00203,203,Ailane,Biała,0 Anniversary Point,4.12
SH00204,204,Ntag,Qila Abdullāh,971 Talisman Lane,3.02
SH00205,205,Tagcat,Digne-les-Bains,380 Arapahoe Drive,3.92
SH00206,206,Voonte,Katagum,34 Anzinger Junction,3.92
SH00207,207,Miboo,Rochester,1 Northport Place,4.22
SH00208,208,Feedfish,Kuching,9776 7th Road,4.92
SH00209,209,Twitterlist,Obo,877 Mariners Cove Court,4.62
SH00210,210,Skyvu,Ogawa,84352 Fairview Court,3.32
SH00211,211,Dynazzy,San Pedro Jocopilas,85 Roxbury Street,3.62
SH00212,212,Twitterbridge,Guachucal,792 Sunfield Terrace,3.92
SH00213,213,Talane,Norak,7 Golden Leaf Alley,4.62
SH00214,214,Skimia,Khromtau,206 Texas Road,4.62
SH00215,215,Youspan,Yacheng,9077 Orin Way,4.72
SH00216,216,Kamba,Fenhe,1 Gerald Way,3.22
SH00217,217,Jayo,Dardhas,5 Mallory Plaza,3.62
SH00218,218,Youopia,Hương Sơn,483 Westerfield Parkway,3.22
SH00219,219,JumpXS,Kansas City,54382 Troy Road,3.92
SH00220,220,Jetpulse,Jinli,3276 Bartillon Avenue,4.12
SH00221,221,Skipfire,Oele,8104 Continental Avenue,3.52
SH00222,222,Brainsphere,Yingyang,9 Maryland Center,4.72
SH00223,223,Plajo,Kombolcha,3 Elmside Street,4.12
SH00224,224,Skalith,Wadi,52 Cody Parkway,3.92
SH00225,225,Bubblemix,Mentaras,389 Stang Terrace,3.62
SH00226,226,Eabox,San Isidro,972 Roxbury Plaza,4.02
SH00227,227,Skimia,Quintã,64 Utah Avenue,3.82
SH00228,228,Thoughtsphere,Lijiang,928 Little Fleur Hill,3.52
SH00229,229,Twinte,Minchinābād,6994 Dwight Center,3.52
SH00230,230,Realblab,El Hatillo,92526 Eastlawn Junction,4.52
SH00231,231,Yabox,Dashuipo,5279 Clemons Drive,3.22
SH00232,232,Fivebridge,Nyima,4 Tennyson Road,3.42
SH00233,233,Yodel,Wangping,55 Meadow Valley Plaza,4.62
SH00234,234,Meezzy,Malpique,62801 Petterle Circle,4.82
SH00235,235,Twitterlist,Jadów,94762 Dawn Alley,3.32
SH00236,236,Rhycero,Laurel,99942 Nova Hill,3.72
SH00237,237,Browsedrive,Plei Kần,448 Lotheville Drive,3.42
SH00238,238,Yakidoo,Kashihara,591 Schmedeman Road,4.52
SH00239,239,BlogXS,Concepción del Bermejo,9518 Crowley Crossing,4.02
SH00240,240,Bluejam,Shāzand,20 Jackson Street,3.22
SH00241,241,Photofeed,Áyios Nikólaos,79104 Superior Terrace,4.82
SH00242,242,Meevee,Pinhal General,3439 Towne Crossing,3.02
SH00243,243,Tagchat,Kardítsa,50 Glacier Hill Parkway,4.52
SH00244,244,Blognation,Baitu,2 Mcguire Crossing,4.32
SH00245,245,Bubblebox,Shuangjie,452 Tennessee Drive,4.02
SH00246,246,Edgeify,Puyang,2 Mcbride Parkway,4.82
SH00247,247,Aibox,North Saanich,9 Forster Circle,4.32
SH00248,248,DabZ,Jiagao,01019 Meadow Vale Alley,4.22
SH00249,249,Minyx,Japerejo,4948 Hoard Park,4.62
SH00250,250,Youbridge,Kokkinóchoma,2667 Crownhardt Terrace,3.82
SH00251,251,Edgetag,Dalumangcob,01465 Lunder Avenue,3.62
SH00252,252,Minyx,Manzini,967 Lotheville Way,3.82
SH00253,253,Bubbletube,Três Passos,44537 Shasta Junction,4.62
SH00254,254,Jabbercube,Kovylkino,12383 Leroy Street,3.82
SH00255,255,Tazzy,Sosnovyy Bor,72158 Crowley Point,3.62
SH00256,256,Skalith,Subulussalam,06 Farragut Lane,3.72
SH00257,257,Lajo,El Sauce,5016 Scoville Place,4.12
SH00258,258,Devbug,Tayang,679 Continental Crossing,3.92
SH00259,259,Realcube,Zhonghechang,89 Sunnyside Place,3.22
SH00260,260,Jaxnation,Lukovica pri Domžalah,92350 Veith Crossing,3.82
SH00261,261,Skinte,Dolice,5 8th Parkway,3.62
SH00262,262,Innotype,Siepraw,7 Mendota Crossing,4.02
SH00263,263,Edgeblab,Tirat Karmel,409 Nelson Hill,4.32
SH00264,264,Dabtype,Beyla,6 Hauk Lane,4.02
SH00265,265,Twinder,Emiliano Zapata,31469 Talmadge Hill,3.12
SH00266,266,Ailane,Concepcion,67 Jenna Terrace,3.52
SH00267,267,Cogidoo,Iwo,643 Talmadge Street,4.02
SH00268,268,Centizu,Lila,98273 Crowley Center,4.02
SH00269,269,Ntags,Guangshun,0538 Bartelt Parkway,4.32
SH00270,270,Flashspan,Arcena Pequena,198 Schiller Terrace,4.62
SH00271,271,Feedfish,Xucheng,297 Arapahoe Trail,4.42
SH00272,272,Plajo,Cernache do Bonjardim,22025 Fair Oaks Circle,3.72
SH00273,273,Meejo,Cerenti,271 Stang Point,3.62
SH00274,274,Npath,Tantu,5 Autumn Leaf Plaza,4.12
SH00275,275,Edgeblab,Kilkenny,54888 Waywood Terrace,4.22
SH00276,276,Izio,Sarbīsheh,38946 Ludington Center,3.02
SH00277,277,Yacero,Maoya,80011 Hallows Court,3.82
SH00278,278,Twitterlist,Verbivka,2393 Homewood Hill,4.52
SH00279,279,Teklist,Paitan Este,57914 Maryland Terrace,4.22
SH00280,280,Blogtags,Mungo,5999 Carpenter Court,3.22
SH00281,281,Tazz,Yangba,139 Stoughton Hill,4.02
SH00282,282,Gabcube,Jatinagara,154 Shopko Avenue,4.72
SH00283,283,Skilith,San Vicente,8110 Dunning Trail,3.52
SH00284,284,Edgeclub,Maqbanah,294 Continental Plaza,4.02
SH00285,285,Fliptune,San Miguel,4 Northland Center,4.82
SH00286,286,Livepath,Manticao,183 Fairview Road,3.62
SH00287,287,Reallinks,Sholokhove,63 Morningstar Trail,4.62
SH00288,288,Kwinu,Auriflama,9 Mosinee Drive,3.42
SH00289,289,Rhyloo,Nanto-shi,99280 Nobel Road,3.02
SH00290,290,Voonder,Thatta,15679 Clemons Street,3.72
SH00291,291,Dynabox,Zubin Potok,6 Jana Center,3.22
SH00292,292,Teklist,Tiyuguan,96138 Brentwood Plaza,3.72
SH00293,293,Trilia,Sahavato,34739 Superior Street,3.32
SH00294,294,Nlounge,Cuntan,6 Gateway Park,4.92
SH00295,295,Photobean,Kato Pyrgos,1 Summit Junction,3.22
SH00296,296,Edgeclub,Shayuan,0912 Marquette Circle,4.82
SH00297,297,Shufflester,Yonghe,50 Packers Junction,4.92
SH00298,298,Jaloo,Sulak,495 Forest Dale Circle,4.12
SH00299,299,Izio,Okotoks,0627 Monument Way,3.42
SH00300,300,Tekfly,Dili,76 Mockingbird Street,4.12
SH00301,301,Mymm,Zhangshi,719 Loeprich Crossing,3.82
SH00302,302,Miboo,Pau,1 Northport Center,4.72
SH00303,303,Pixonyx,Xinle,923 Cottonwood Way,4.12
SH00304,304,Youfeed,Växjö,11781 Hooker Circle,4.22
SH00305,305,Photobug,Huaidao,49 Mariners Cove Alley,3.02
SH00306,306,Wordtune,Fier,6881 Blackbird Hill,3.92
SH00307,307,Shufflebeat,Novalja,05 Old Gate Alley,4.02
SH00308,308,InnoZ,Mananara,9727 East Junction,3.02
SH00309,309,Yodel,Huaqiao,7 Fremont Crossing,4.02
SH00310,310,Fivebridge,Diriomo,30 Straubel Trail,4.32
SH00311,311,Devify,Wingham,05227 Waxwing Center,4.52
SH00312,312,Tazz,Yangqiao,00308 Farragut Trail,3.12
SH00313,313,Devcast,Krajanjugosari,130 Sachtjen Place,3.42
SH00314,314,Quinu,St. Catharines,21806 Oxford Park,4.42
SH00315,315,Brainbox,Ngoc Hon Doc,11 Lillian Junction,3.22
SH00316,316,Trunyx,Courelas Bravas,08000 American Plaza,3.72
SH00317,317,Photofeed,Dado,581 Vahlen Trail,3.62
SH00318,318,Meemm,Ash Shuqayrah,98 Haas Terrace,4.02
SH00319,319,Skilith,Glugur Krajan,233 Lighthouse Bay Lane,3.42
SH00320,320,Yodo,Fornelos,55 Dixon Road,3.12
SH00321,321,Rhynyx,Baocun,2647 Hanson Terrace,4.22
SH00322,322,Devshare,Oslo,312 Tennyson Way,4.02
SH00323,323,Zoonder,Cavaillon,8 Lotheville Road,4.62
SH00324,324,Nlounge,Verkhnya Rozhanka,47 Loomis Parkway,4.22
SH00325,325,Pixoboo,Taveiro,046 Colorado Circle,3.22
SH00326,326,Myworks,Calheta,47 Fulton Road,3.82
SH00327,327,Aimbu,Marigot,0172 Hauk Alley,4.72
SH00328,328,Topicstorm,Maki,16 Village Point,3.12
SH00329,329,Fliptune,Fushi,3 Lakeland Trail,4.32
SH00330,330,Rooxo,La Foa,11 Dapin Drive,4.52
SH00331,331,Yata,Quwa,15677 Memorial Crossing,4.32
SH00332,332,Wikibox,Pokrovka,073 Dawn Parkway,3.72
SH00333,333,Zoozzy,Daxing,559 Ridgeview Hill,4.72
SH00334,334,Riffwire,Milotice,7268 Hauk Trail,4.02
